;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;ValorBruto;Valor_m2;ValorTotal_m2;Tipo_Agregado
21366;Apartamento;Recreio dos Bandeirantes;2;2;1;60;2500.0;1414.0;262.0;4176.0;41.67;69.6;Apartamento
21367;Apartamento;Botafogo;3;1;1;107;4900.0;1300.0;276.0;6476.0;45.79;60.52;Apartamento
21368;Quitinete;Barra da Tijuca;1;1;1;20;1800.0;0.0;0.0;1800.0;90.0;90.0;Apartamento
21369;Apartamento;Leblon;3;1;0;85;4000.0;815.0;230.0;5045.0;47.06;59.35;Apartamento
21370;Apartamento;Leblon;3;2;1;134;5300.0;1400.0;524.0;7224.0;39.55;53.91;Apartamento
21371;Apartamento;Recreio dos Bandeirantes;2;2;1;75;1700.0;670.0;140.0;2510.0;22.67;33.47;Apartamento
21372;Apartamento;Vila Valqueire;2;1;0;73;1100.0;610.0;0.0;1710.0;15.07;23.42;Apartamento
21373;Apartamento;Barra da Tijuca;3;2;1;150;8000.0;1200.0;400.0;9600.0;53.33;64.0;Apartamento
21374;Apartamento;Ipanema;4;3;4;200;25000.0;4710.0;1000.0;30710.0;125.0;153.55;Apartamento
21375;Apartamento;Barra da Tijuca;1;1;0;65;1600.0;1750.0;350.0;3700.0;24.62;56.92;Apartamento
21377;Apartamento;Barra da Tijuca;4;2;2;160;4700.0;1700.0;0.0;6400.0;29.38;40.0;Apartamento
21378;Apartamento;Grajaú;2;0;0;60;1300.0;465.0;22.0;1787.0;21.67;29.78;Apartamento
21379;Apartamento;Grajaú;2;0;0;78;1800.0;450.0;35.0;2285.0;23.08;29.29;Apartamento
21381;Apartamento;Ipanema;3;1;1;160;3900.0;1300.0;135.0;5335.0;24.38;33.34;Apartamento
21382;Quitinete;Botafogo;1;0;0;25;1200.0;480.0;0.0;1680.0;48.0;67.2;Apartamento
21383;Apartamento;Jacarepaguá;2;1;1;66;2000.0;682.0;89.0;2771.0;30.3;41.98;Apartamento
21384;Apartamento;Recreio dos Bandeirantes;3;3;3;180;3500.0;700.0;0.0;4200.0;19.44;23.33;Apartamento
21385;Apartamento;Freguesia (Jacarepaguá);5;3;2;261;2500.0;2160.0;3900.0;8560.0;9.58;32.8;Apartamento
21386;Apartamento;Ipanema;3;3;3;169;9000.0;2000.0;620.0;11620.0;53.25;68.76;Apartamento
21387;Casa;Recreio dos Bandeirantes;3;3;1;300;4500.0;0.0;0.0;4500.0;15.0;15.0;Casa
21388;Apartamento;Barra da Tijuca;4;2;1;205;5500.0;3000.0;0.0;8500.0;26.83;41.46;Apartamento
21389;Apartamento;Leblon;2;1;0;100;5000.0;1050.0;170.0;6220.0;50.0;62.2;Apartamento
21390;Apartamento;Península;4;5;4;542;38000.0;4357.0;0.0;42357.0;70.11;78.15;Apartamento
21391;Apartamento;Recreio dos Bandeirantes;2;1;1;117;1500.0;650.0;143.0;2293.0;12.82;19.6;Apartamento
21392;Casa de Condomínio;Itanhangá;5;8;5;2200;25000.0;1300.0;345.0;26645.0;11.36;12.11;Casa
21393;Apartamento;Leblon;3;2;1;100;6200.0;1100.0;342.0;7642.0;62.0;76.42;Apartamento
21394;Casa;Madureira;1;0;0;40;800.0;0.0;0.0;800.0;20.0;20.0;Casa
21395;Apartamento;Recreio dos Bandeirantes;2;1;1;76;1900.0;740.0;124.0;2764.0;25.0;36.37;Apartamento
21396;Apartamento;Catete;1;0;0;30;1200.0;360.0;25.0;1585.0;40.0;52.83;Apartamento
21397;Quitinete;Copacabana;1;0;0;29;1300.0;420.0;30.0;1750.0;44.83;60.34;Apartamento
21398;Apartamento;Barra da Tijuca;4;4;4;392;25000.0;7000.0;32000.0;64000.0;63.78;163.27;Apartamento
21399;Apartamento;Recreio dos Bandeirantes;3;1;1;95;1800.0;1250.0;0.0;3050.0;18.95;32.11;Apartamento
21400;Apartamento;Copacabana;4;0;0;196;6000.0;1200.0;250.0;7450.0;30.61;38.01;Apartamento
21401;Apartamento;Todos os Santos;2;0;0;44;1000.0;295.0;35.0;1330.0;22.73;30.23;Apartamento
21402;Apartamento;Barra da Tijuca;2;1;1;67;1700.0;590.0;131.0;2421.0;25.37;36.13;Apartamento
21403;Apartamento;Copacabana;3;0;0;100;3000.0;650.0;0.0;3650.0;30.0;36.5;Apartamento
21404;Apartamento;Curicica;3;1;1;71;1500.0;630.0;0.0;2130.0;21.13;30.0;Apartamento
21405;Apartamento;Recreio dos Bandeirantes;3;3;2;195;3000.0;750.0;434.0;4184.0;15.38;21.46;Apartamento
21406;Apartamento;Campo Grande;2;1;0;50;900.0;308.0;0.0;1208.0;18.0;24.16;Apartamento
21407;Apartamento;Tomás Coelho;2;1;0;70;900.0;337.0;0.0;1237.0;12.86;17.67;Apartamento
21408;Apartamento;Recreio dos Bandeirantes;3;2;1;101;1600.0;722.0;236.0;2558.0;15.84;25.33;Apartamento
21409;Apartamento;Laranjeiras;2;1;0;110;3000.0;800.0;71.0;3871.0;27.27;35.19;Apartamento
21410;Casa de Condomínio;Barra da Tijuca;4;4;2;600;30000.0;1100.0;1400.0;32500.0;50.0;54.17;Casa
21411;Casa de Condomínio;Vargem Pequena;4;5;4;150;2700.0;606.0;54.0;3360.0;18.0;22.4;Casa
21412;Casa;Vargem Pequena;2;3;2;300;7500.0;0.0;0.0;7500.0;25.0;25.0;Casa
21413;Casa de Vila;Riachuelo;2;0;0;41;900.0;0.0;135.0;1035.0;21.95;25.24;Casa
21414;Apartamento;Jardim Guanabara;1;1;0;59;1500.0;360.0;90.0;1950.0;25.42;33.05;Apartamento
21415;Apartamento;Laranjeiras;3;0;0;125;2700.0;600.0;34.0;3334.0;21.6;26.67;Apartamento
